main_team,team_group,competition,n_matches,avg_goal_fatti,avg_goal_subiti
Spezia,1,Serie A,12,1.0833333333333333,1.4166666666666667
Spezia,2,Serie A,7,1.0,0.8571428571428571
Spezia,all,Serie A,29,0.8620689655172413,1.5517241379310345
Stuttgart,0,Bundesliga,12,0.6666666666666666,2.0833333333333335
Stuttgart,1,Bundesliga,10,1.3,1.5
Stuttgart,2,Bundesliga,5,2.2,1.4
Stuttgart,all,Bundesliga,27,1.1851851851851851,1.7407407407407407
Torino,0,Serie A,11,0.6363636363636364,1.8181818181818181
Torino,1,Serie A,10,1.2,0.9
Torino,2,Serie A,8,1.375,0.75
Torino,all,Serie A,29,1.0344827586206897,1.206896551724138
Tottenham,0,Premier League,9,0.8888888888888888,1.7777777777777777
Tottenham,1,Premier League,11,1.6363636363636365,0.8181818181818182
Tottenham,2,Premier League,10,2.9,1.7
Tottenham,all,Premier League,30,1.8333333333333333,1.4
Udinese,0,Serie A,10,1.7,1.5
Udinese,1,Serie A,11,1.2727272727272727,1.3636363636363635
Udinese,2,Serie A,8,1.0,0.75
Udinese,all,Serie A,29,1.3448275862068966,1.2413793103448276
Union Berlin,0,Bundesliga,10,1.1,1.9
Union Berlin,1,Bundesliga,10,1.5,0.7
Union Berlin,2,Bundesliga,7,2.2857142857142856,0.5714285714285714
Union Berlin,all,Bundesliga,27,1.5555555555555556,1.1111111111111112
Valencia,0,La Liga,11,0.6363636363636364,1.2727272727272727
Valencia,1,La Liga,10,1.1,0.9
Valencia,2,La Liga,7,1.7142857142857142,1.5714285714285714
Valencia,all,La Liga,28,1.0714285714285714,1.2142857142857142
Valladolid,0,La Liga,11,0.36363636363636365,2.3636363636363638
Valladolid,1,La Liga,10,0.9,1.5
Valladolid,2,La Liga,7,1.4285714285714286,0.8571428571428571
Valladolid,all,La Liga,28,0.8214285714285714,1.6785714285714286
Vallecano,0,La Liga,9,1.0,1.3333333333333333
Vallecano,1,La Liga,10,1.2,1.4
Vallecano,2,La Liga,9,1.3333333333333333,0.7777777777777778
Vallecano,all,La Liga,28,1.1785714285714286,1.1785714285714286
Verona,0,Serie A,10,0.5,1.8
Verona,1,Serie A,11,0.8181818181818182,1.5454545454545454
Verona,2,Serie A,8,1.25,1.0
Verona,all,Serie A,29,0.8275862068965517,1.4827586206896552
Villarreal,0,La Liga,10,1.0,1.1
Villarreal,1,La Liga,9,1.1111111111111112,1.0
Villarreal,2,La Liga,9,1.8888888888888888,0.6666666666666666
Villarreal,all,La Liga,28,1.3214285714285714,0.9285714285714286
Werder Bremen,0,Bundesliga,10,1.2,2.6
Werder Bremen,1,Bundesliga,11,1.6363636363636365,2.090909090909091
Werder Bremen,2,Bundesliga,6,2.0,0.5
Werder Bremen,all,Bundesliga,27,1.5555555555555556,1.9259259259259258
West Ham,0,Premier League,11,0.5454545454545454,2.0
West Ham,1,Premier League,9,1.0,1.1111111111111112
West Ham,2,Premier League,9,1.3333333333333333,0.7777777777777778
West Ham,all,Premier League,29,0.9310344827586207,1.3448275862068966
Wolfsburg,0,Bundesliga,11,1.4545454545454546,1.6363636363636365
Wolfsburg,1,Bundesliga,10,1.7,1.6
Wolfsburg,2,Bundesliga,6,2.1666666666666665,0.3333333333333333
Wolfsburg,all,Bundesliga,27,1.7037037037037037,1.3333333333333333
Wolves,0,Premier League,10,0.6,1.7
Wolves,1,Premier League,10,0.8,1.1
Wolves,2,Premier League,10,1.0,1.4
Wolves,all,Premier League,30,0.8,1.4
