main_team,opponent_team,goal_fatti,no_goal,goal,tot_goals,goal_subiti,away_home,result,team_has_scored,giornata,goal_no_goal,team_has_conceded_goal,competition,position,playedGames,form,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference,team_short_name,team_group
Sampdoria,Monza,0,True,False,3,3,home,Loss,False,8.0,No Goal,True,Serie A,13,29,,9,8,12,35,34,41,-7,Monza,1
Sassuolo,Salernitana,5,True,False,5,0,home,Win,True,8.0,No Goal,False,Serie A,15,29,,6,11,12,29,33,49,-16,Salernitana,2
Atalanta,Fiorentina,1,True,False,1,0,home,Win,True,8.0,No Goal,False,Serie A,9,29,,11,8,10,41,34,32,2,Fiorentina,1
Juventus,Bologna,3,True,False,3,0,home,Win,True,8.0,No Goal,False,Serie A,8,29,,12,7,10,43,38,36,2,Bologna,1
Verona,Udinese,1,False,True,3,2,home,Loss,True,8.0,Goal,True,Serie A,10,29,,9,12,8,39,39,36,3,Udinese,1
Sassuolo,Inter,1,False,True,3,2,home,Loss,True,9.0,Goal,True,Serie A,5,29,,16,3,10,51,48,33,15,Inter,0
Milan,Juventus,2,True,False,2,0,home,Win,True,9.0,No Goal,False,Serie A,7,29,,18,5,6,44,47,24,23,Juventus,0
Bologna,Sampdoria,1,False,True,2,1,home,Draw,True,9.0,Goal,True,Serie A,20,29,,3,6,20,15,18,50,-32,Sampdoria,2
Torino,Empoli,1,False,True,2,1,home,Draw,True,9.0,Goal,True,Serie A,14,29,,7,11,11,32,25,36,-11,Empoli,1
Monza,Spezia,2,True,False,2,0,home,Win,True,9.0,No Goal,False,Serie A,17,29,,5,11,13,26,25,45,-20,Spezia,2
Salernitana,Verona,2,False,True,3,1,home,Win,True,9.0,Goal,True,Serie A,18,29,,5,7,17,22,24,43,-19,Verona,2
Udinese,Atalanta,2,False,True,4,2,home,Draw,True,9.0,Goal,True,Serie A,6,29,,14,6,9,48,47,34,13,Atalanta,0
Cremonese,Napoli,1,False,True,5,4,home,Loss,True,9.0,Goal,True,Serie A,1,29,,24,2,3,74,66,21,45,Napoli,0
Roma,Lecce,2,False,True,3,1,home,Win,True,9.0,Goal,True,Serie A,16,29,,6,9,14,27,25,35,-10,Lecce,2
Fiorentina,Lazio,0,True,False,4,4,home,Loss,False,9.0,No Goal,True,Serie A,2,29,,17,7,5,58,46,20,26,Lazio,0
Empoli,Monza,1,True,False,1,0,home,Win,True,10.0,No Goal,False,Serie A,13,29,,9,8,12,35,34,41,-7,Monza,1
Torino,Juventus,0,True,False,1,1,home,Loss,False,10.0,No Goal,True,Serie A,7,29,,18,5,6,44,47,24,23,Juventus,0
Atalanta,Sassuolo,2,False,True,3,1,home,Win,True,10.0,Goal,True,Serie A,12,29,,10,7,12,37,37,43,-6,Sassuolo,1
Inter,Salernitana,2,True,False,2,0,home,Win,True,10.0,No Goal,False,Serie A,15,29,,6,11,12,29,33,49,-16,Salernitana,2
Lazio,Udinese,0,True,False,0,0,home,Draw,False,10.0,No Goal,False,Serie A,10,29,,9,12,8,39,39,36,3,Udinese,1
Spezia,Cremonese,2,False,True,4,2,home,Draw,True,10.0,Goal,True,Serie A,19,29,,2,10,17,16,26,54,-28,Cremonese,2
Napoli,Bologna,3,False,True,5,2,home,Win,True,10.0,Goal,True,Serie A,8,29,,12,7,10,43,38,36,2,Bologna,1
Verona,Milan,1,False,True,3,2,home,Loss,True,10.0,Goal,True,Serie A,4,29,,15,7,7,52,48,36,12,Milan,0
Sampdoria,Roma,0,True,False,1,1,home,Loss,False,10.0,No Goal,True,Serie A,3,29,,16,5,8,53,39,26,13,Roma,0
Lecce,Fiorentina,1,False,True,2,1,home,Draw,True,10.0,Goal,True,Serie A,9,29,,11,8,10,41,34,32,2,Fiorentina,1
Juventus,Empoli,4,True,False,4,0,home,Win,True,11.0,No Goal,False,Serie A,14,29,,7,11,11,32,25,36,-11,Empoli,1
Salernitana,Spezia,1,True,False,1,0,home,Win,True,11.0,No Goal,False,Serie A,17,29,,5,11,13,26,25,45,-20,Spezia,2
Milan,Monza,4,False,True,5,1,home,Win,True,11.0,Goal,True,Serie A,13,29,,9,8,12,35,34,41,-7,Monza,1
Fiorentina,Inter,3,False,True,7,4,home,Loss,True,11.0,Goal,True,Serie A,5,29,,16,3,10,51,48,33,15,Inter,0
Udinese,Torino,1,False,True,3,2,home,Loss,True,11.0,Goal,True,Serie A,11,29,,10,8,11,38,30,35,-5,Torino,1
Bologna,Lecce,2,True,False,2,0,home,Win,True,11.0,No Goal,False,Serie A,16,29,,6,9,14,27,25,35,-10,Lecce,2
Atalanta,Lazio,0,True,False,2,2,home,Loss,False,11.0,No Goal,True,Serie A,2,29,,17,7,5,58,46,20,26,Lazio,0
Roma,Napoli,0,True,False,1,1,home,Loss,False,11.0,No Goal,True,Serie A,1,29,,24,2,3,74,66,21,45,Napoli,0
Cremonese,Sampdoria,0,True,False,1,1,home,Loss,False,11.0,No Goal,True,Serie A,20,29,,3,6,20,15,18,50,-32,Sampdoria,2
Sassuolo,Verona,2,False,True,3,1,home,Win,True,11.0,Goal,True,Serie A,18,29,,5,7,17,22,24,43,-19,Verona,2
Napoli,Sassuolo,4,True,False,4,0,home,Win,True,12.0,No Goal,False,Serie A,12,29,,10,7,12,37,37,43,-6,Sassuolo,1
Lecce,Juventus,0,True,False,1,1,home,Loss,False,12.0,No Goal,True,Serie A,7,29,,18,5,6,44,47,24,23,Juventus,0
Inter,Sampdoria,3,True,False,3,0,home,Win,True,12.0,No Goal,False,Serie A,20,29,,3,6,20,15,18,50,-32,Sampdoria,2
Empoli,Atalanta,0,True,False,2,2,home,Loss,False,12.0,No Goal,True,Serie A,6,29,,14,6,9,48,47,34,13,Atalanta,0
Cremonese,Udinese,0,True,False,0,0,home,Draw,False,12.0,No Goal,False,Serie A,10,29,,9,12,8,39,39,36,3,Udinese,1
Spezia,Fiorentina,1,False,True,3,2,home,Loss,True,12.0,Goal,True,Serie A,9,29,,11,8,10,41,34,32,2,Fiorentina,1
Lazio,Salernitana,1,False,True,4,3,home,Loss,True,12.0,Goal,True,Serie A,15,29,,6,11,12,29,33,49,-16,Salernitana,2
Torino,Milan,2,False,True,3,1,home,Win,True,12.0,Goal,True,Serie A,4,29,,15,7,7,52,48,36,12,Milan,0
Verona,Roma,1,False,True,4,3,home,Loss,True,12.0,Goal,True,Serie A,3,29,,16,5,8,53,39,26,13,Roma,0
Monza,Bologna,1,False,True,3,2,home,Loss,True,12.0,Goal,True,Serie A,8,29,,12,7,10,43,38,36,2,Bologna,1
Udinese,Lecce,1,False,True,2,1,home,Draw,True,13.0,Goal,True,Serie A,16,29,,6,9,14,27,25,35,-10,Lecce,2
Empoli,Sassuolo,1,True,False,1,0,home,Win,True,13.0,No Goal,False,Serie A,12,29,,10,7,12,37,37,43,-6,Sassuolo,1
Salernitana,Cremonese,2,False,True,4,2,home,Draw,True,13.0,Goal,True,Serie A,19,29,,2,10,17,16,26,54,-28,Cremonese,2
Atalanta,Napoli,1,False,True,3,2,home,Loss,True,13.0,Goal,True,Serie A,1,29,,24,2,3,74,66,21,45,Napoli,0
Milan,Spezia,2,False,True,3,1,home,Win,True,13.0,Goal,True,Serie A,17,29,,5,11,13,26,25,45,-20,Spezia,2
Bologna,Torino,2,False,True,3,1,home,Win,True,13.0,Goal,True,Serie A,11,29,,10,8,11,38,30,35,-5,Torino,1
Monza,Verona,2,True,False,2,0,home,Win,True,13.0,No Goal,False,Serie A,18,29,,5,7,17,22,24,43,-19,Verona,2
Sampdoria,Fiorentina,0,True,False,2,2,home,Loss,False,13.0,No Goal,True,Serie A,9,29,,11,8,10,41,34,32,2,Fiorentina,1
Roma,Lazio,0,True,False,1,1,home,Loss,False,13.0,No Goal,True,Serie A,2,29,,17,7,5,58,46,20,26,Lazio,0
Juventus,Inter,2,True,False,2,0,home,Win,True,13.0,No Goal,False,Serie A,5,29,,16,3,10,51,48,33,15,Inter,0
Napoli,Empoli,2,True,False,2,0,home,Win,True,14.0,No Goal,False,Serie A,14,29,,7,11,11,32,25,36,-11,Empoli,1
