n_matches,main_team,team_group,competition,no_goal,no_goal_streak_weighted,goal_streak_weighted,tot_giornata,no_goal_streak_weighted_ratio,goal_streak_weighted_ratio,no_goal_ratio,goal_ratio,curr_giornata,last_giornata
9,Osasuna,2,La Liga,5,49.0,76.0,125.0,0.392,0.608,0.5555555555555556,0.4444444444444444,30,30.0
29,Osasuna,all,La Liga,17,265.0,180.0,445.0,0.5955056179775281,0.4044943820224719,0.5862068965517241,0.4137931034482759,30,30.0
10,Real Madrid,0,La Liga,3,62.0,115.0,177.0,0.3502824858757062,0.6497175141242938,0.3,0.7,30,30.0
10,Real Madrid,1,La Liga,4,87.0,50.0,137.0,0.635036496350365,0.36496350364963503,0.4,0.6,30,30.0
9,Real Madrid,2,La Liga,5,87.0,44.0,131.0,0.6641221374045801,0.33587786259541985,0.5555555555555556,0.4444444444444444,30,30.0
29,Real Madrid,all,La Liga,12,236.0,209.0,445.0,0.5303370786516854,0.4696629213483146,0.41379310344827586,0.5862068965517242,30,30.0
9,Sevilla,0,La Liga,3,32.0,77.0,109.0,0.29357798165137616,0.7064220183486238,0.3333333333333333,0.6666666666666667,30,30.0
10,Sevilla,1,La Liga,3,43.0,111.0,154.0,0.2792207792207792,0.7207792207792207,0.3,0.7,30,30.0
10,Sevilla,2,La Liga,5,122.0,60.0,182.0,0.6703296703296703,0.32967032967032966,0.5,0.5,30,30.0
29,Sevilla,all,La Liga,11,197.0,248.0,445.0,0.44269662921348313,0.5573033707865168,0.3793103448275862,0.6206896551724138,30,30.0
8,Sociedad,0,La Liga,5,97.0,23.0,120.0,0.8083333333333333,0.19166666666666668,0.625,0.375,30,30.0
10,Sociedad,1,La Liga,5,75.0,79.0,154.0,0.487012987012987,0.512987012987013,0.5,0.5,30,30.0
11,Sociedad,2,La Liga,7,125.0,46.0,171.0,0.7309941520467836,0.26900584795321636,0.6363636363636364,0.36363636363636365,30,30.0
29,Sociedad,all,La Liga,17,297.0,148.0,445.0,0.6674157303370787,0.3325842696629214,0.5862068965517241,0.4137931034482759,30,30.0
11,Valencia,0,La Liga,8,124.0,50.0,174.0,0.7126436781609196,0.28735632183908044,0.7272727272727273,0.2727272727272727,30,30.0
11,Valencia,1,La Liga,6,103.0,62.0,165.0,0.6242424242424243,0.37575757575757573,0.5454545454545454,0.4545454545454546,30,30.0
7,Valencia,2,La Liga,2,39.0,67.0,106.0,0.36792452830188677,0.6320754716981132,0.2857142857142857,0.7142857142857143,30,30.0
29,Valencia,all,La Liga,16,266.0,179.0,445.0,0.597752808988764,0.40224719101123596,0.5517241379310345,0.4482758620689655,30,30.0
12,Valladolid,0,La Liga,9,119.0,80.0,199.0,0.5979899497487438,0.4020100502512563,0.75,0.25,30,30.0
9,Valladolid,1,La Liga,5,91.0,46.0,137.0,0.6642335766423357,0.3357664233576642,0.5555555555555556,0.4444444444444444,30,30.0
8,Valladolid,2,La Liga,4,38.0,71.0,109.0,0.3486238532110092,0.6513761467889908,0.5,0.5,30,30.0
29,Valladolid,all,La Liga,18,248.0,197.0,445.0,0.5573033707865168,0.44269662921348313,0.6206896551724138,0.3793103448275862,30,30.0
9,Vallecano,0,La Liga,4,63.0,74.0,137.0,0.45985401459854014,0.5401459854014599,0.4444444444444444,0.5555555555555556,30,30.0
10,Vallecano,1,La Liga,5,72.0,99.0,171.0,0.42105263157894735,0.5789473684210527,0.5,0.5,30,30.0
10,Vallecano,2,La Liga,4,56.0,81.0,137.0,0.40875912408759124,0.5912408759124088,0.4,0.6,30,30.0
29,Vallecano,all,La Liga,13,191.0,254.0,445.0,0.42921348314606744,0.5707865168539326,0.4482758620689655,0.5517241379310345,30,30.0
10,Villarreal,0,La Liga,7,87.0,71.0,158.0,0.5506329113924051,0.44936708860759494,0.7,0.30000000000000004,30,30.0
10,Villarreal,1,La Liga,6,87.0,76.0,163.0,0.5337423312883436,0.4662576687116564,0.6,0.4,30,30.0
9,Villarreal,2,La Liga,5,53.0,71.0,124.0,0.4274193548387097,0.5725806451612904,0.5555555555555556,0.4444444444444444,30,30.0
29,Villarreal,all,La Liga,18,227.0,218.0,445.0,0.5101123595505618,0.4898876404494382,0.6206896551724138,0.3793103448275862,30,30.0
9,Atalanta,0,Serie A,5,90.0,49.0,139.0,0.6474820143884892,0.35251798561151076,0.5555555555555556,0.4444444444444444,30,30.0
12,Atalanta,1,Serie A,6,100.0,97.0,197.0,0.5076142131979695,0.49238578680203043,0.5,0.5,30,30.0
9,Atalanta,2,Serie A,3,24.0,105.0,129.0,0.18604651162790697,0.813953488372093,0.3333333333333333,0.6666666666666667,30,30.0
30,Atalanta,all,Serie A,14,214.0,251.0,465.0,0.46021505376344085,0.5397849462365591,0.4666666666666667,0.5333333333333333,30,30.0
11,Bologna,0,Serie A,6,106.0,72.0,178.0,0.5955056179775281,0.4044943820224719,0.5454545454545454,0.4545454545454546,30,30.0
10,Bologna,1,Serie A,5,97.0,70.0,167.0,0.5808383233532934,0.41916167664670656,0.5,0.5,30,30.0
9,Bologna,2,Serie A,2,31.0,89.0,120.0,0.25833333333333336,0.7416666666666667,0.2222222222222222,0.7777777777777778,30,30.0
30,Bologna,all,Serie A,13,234.0,231.0,465.0,0.5032258064516129,0.4967741935483871,0.43333333333333335,0.5666666666666667,30,30.0
11,Cremonese,0,Serie A,5,61.0,91.0,152.0,0.40131578947368424,0.5986842105263158,0.45454545454545453,0.5454545454545454,30,30.0
12,Cremonese,1,Serie A,5,88.0,116.0,204.0,0.43137254901960786,0.5686274509803921,0.4166666666666667,0.5833333333333333,30,30.0
7,Cremonese,2,Serie A,3,49.0,60.0,109.0,0.44954128440366975,0.5504587155963303,0.42857142857142855,0.5714285714285714,30,30.0
30,Cremonese,all,Serie A,13,198.0,267.0,465.0,0.4258064516129032,0.5741935483870968,0.43333333333333335,0.5666666666666667,30,30.0
11,Empoli,0,Serie A,7,130.0,58.0,188.0,0.6914893617021277,0.30851063829787234,0.6363636363636364,0.36363636363636365,30,30.0
10,Empoli,1,Serie A,5,58.0,93.0,151.0,0.3841059602649007,0.6158940397350994,0.5,0.5,30,30.0
9,Empoli,2,Serie A,5,92.0,34.0,126.0,0.7301587301587301,0.2698412698412698,0.5555555555555556,0.4444444444444444,30,30.0
30,Empoli,all,Serie A,17,280.0,185.0,465.0,0.6021505376344086,0.3978494623655914,0.5666666666666667,0.43333333333333335,30,30.0
12,Fiorentina,0,Serie A,6,88.0,106.0,194.0,0.4536082474226804,0.5463917525773195,0.5,0.5,30,30.0
8,Fiorentina,1,Serie A,3,25.0,83.0,108.0,0.23148148148148148,0.7685185185185185,0.375,0.625,30,30.0
10,Fiorentina,2,Serie A,5,97.0,66.0,163.0,0.5950920245398773,0.4049079754601227,0.5,0.5,30,30.0
30,Fiorentina,all,Serie A,14,210.0,255.0,465.0,0.45161290322580644,0.5483870967741935,0.4666666666666667,0.5333333333333333,30,30.0
8,Inter,0,Serie A,4,77.0,31.0,108.0,0.7129629629629629,0.28703703703703703,0.5,0.5,30,30.0
11,Inter,1,Serie A,5,107.0,81.0,188.0,0.5691489361702128,0.4308510638297872,0.45454545454545453,0.5454545454545454,30,30.0
11,Inter,2,Serie A,6,89.0,80.0,169.0,0.5266272189349113,0.47337278106508873,0.5454545454545454,0.4545454545454546,30,30.0
30,Inter,all,Serie A,15,273.0,192.0,465.0,0.5870967741935483,0.4129032258064516,0.5,0.5,30,30.0
9,Juventus,0,Serie A,5,89.0,69.0,158.0,0.5632911392405063,0.43670886075949367,0.5555555555555556,0.4444444444444444,30,30.0
11,Juventus,1,Serie A,9,126.0,29.0,155.0,0.8129032258064516,0.1870967741935484,0.8181818181818182,0.18181818181818177,30,30.0
10,Juventus,2,Serie A,8,120.0,32.0,152.0,0.7894736842105263,0.21052631578947367,0.8,0.19999999999999996,30,30.0
30,Juventus,all,Serie A,22,335.0,130.0,465.0,0.7204301075268817,0.27956989247311825,0.7333333333333333,0.2666666666666667,30,30.0
10,Lazio,0,Serie A,7,132.0,37.0,169.0,0.7810650887573964,0.21893491124260356,0.7,0.30000000000000004,30,30.0
10,Lazio,1,Serie A,7,107.0,38.0,145.0,0.7379310344827587,0.2620689655172414,0.7,0.30000000000000004,30,30.0
10,Lazio,2,Serie A,6,98.0,53.0,151.0,0.6490066225165563,0.3509933774834437,0.6,0.4,30,30.0
30,Lazio,all,Serie A,20,337.0,128.0,465.0,0.7247311827956989,0.2752688172043011,0.6666666666666666,0.33333333333333337,30,30.0
11,Lecce,0,Serie A,2,37.0,136.0,173.0,0.2138728323699422,0.7861271676300579,0.18181818181818182,0.8181818181818181,30,30.0
11,Lecce,1,Serie A,7,123.0,32.0,155.0,0.7935483870967742,0.2064516129032258,0.6363636363636364,0.36363636363636365,30,30.0
8,Lecce,2,Serie A,4,72.0,65.0,137.0,0.5255474452554745,0.4744525547445255,0.5,0.5,30,30.0
30,Lecce,all,Serie A,13,232.0,233.0,465.0,0.4989247311827957,0.5010752688172043,0.43333333333333335,0.5666666666666667,30,30.0
9,Milan,0,Serie A,5,101.0,31.0,132.0,0.7651515151515151,0.23484848484848486,0.5555555555555556,0.4444444444444444,30,30.0
14,Milan,1,Serie A,5,81.0,149.0,230.0,0.3521739130434783,0.6478260869565218,0.35714285714285715,0.6428571428571428,30,30.0
7,Milan,2,Serie A,1,14.0,89.0,103.0,0.13592233009708737,0.8640776699029126,0.14285714285714285,0.8571428571428572,30,30.0
30,Milan,all,Serie A,11,196.0,269.0,465.0,0.421505376344086,0.578494623655914,0.36666666666666664,0.6333333333333333,30,30.0
11,Monza,0,Serie A,9,133.0,28.0,161.0,0.8260869565217391,0.17391304347826086,0.8181818181818182,0.18181818181818177,30,30.0
9,Monza,1,Serie A,2,32.0,105.0,137.0,0.23357664233576642,0.7664233576642335,0.2222222222222222,0.7777777777777778,30,30.0
10,Monza,2,Serie A,5,69.0,98.0,167.0,0.41317365269461076,0.5868263473053892,0.5,0.5,30,30.0
30,Monza,all,Serie A,16,234.0,231.0,465.0,0.5032258064516129,0.4967741935483871,0.5333333333333333,0.4666666666666667,30,30.0
10,Napoli,0,Serie A,5,106.0,63.0,169.0,0.6272189349112426,0.3727810650887574,0.5,0.5,30,30.0
10,Napoli,1,Serie A,7,105.0,33.0,138.0,0.7608695652173914,0.2391304347826087,0.7,0.30000000000000004,30,30.0
