n_matches,main_team,team_group,competition,no_goal,no_goal_streak_weighted,goal_streak_weighted,tot_giornata,no_goal_streak_weighted_ratio,goal_streak_weighted_ratio,no_goal_ratio,goal_ratio,curr_giornata
1,Liverpool,1,Premier League,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Liverpool,all,Premier League,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,M'gladbach,2,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,M'gladbach,all,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Mainz,0,Bundesliga,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Mainz,all,Bundesliga,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Mallorca,0,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Mallorca,all,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Man City,1,Premier League,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Man City,all,Premier League,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Man United,1,Premier League,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Man United,all,Premier League,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Milan,0,Serie A,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Milan,all,Serie A,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Monza,0,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Monza,all,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Napoli,1,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Napoli,all,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Newcastle,0,Premier League,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Newcastle,all,Premier League,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Nott'm Forest,2,Premier League,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Nott'm Forest,all,Premier League,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Osasuna,2,La Liga,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Osasuna,all,La Liga,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,RB Leipzig,1,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,RB Leipzig,all,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Real Madrid,1,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Real Madrid,all,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Roma,2,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Roma,all,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Salernitana,1,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Salernitana,all,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Sampdoria,0,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Sampdoria,all,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Sassuolo,2,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Sassuolo,all,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Schalke 04,1,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Schalke 04,all,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Sevilla,1,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Sevilla,all,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Sociedad,0,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Sociedad,all,La Liga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Southampton,2,Premier League,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Southampton,all,Premier League,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Spezia,0,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Spezia,all,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
1,Stuttgart,1,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Stuttgart,all,Bundesliga,0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2
1,Torino,0,Serie A,1,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2
